Id,TestFacility_Fk_Id,SubCategoryName,Description,IsActive
365,0,TEMPERATURE BATH,NULL,1
366,0,Tensile Test,NULL,1
367,0,Tensile Test (small diameter or thin sheet samples) of ferrous & non-ferrous metals,NULL,1
368,0,Tensile Test (with Extensometer) of ferrous & non-ferrous metals,NULL,1
369,0,Tensile Test (without Extensometer) of ferrous & non-ferrous metals,NULL,1
370,0,Tensile Test of wires (small diameter) of ferrous & non-ferrous metals,NULL,1
371,0,TENSILE TESTING MACHINE,NULL,1
372,0,Tensile testing on Tensometer,NULL,1
373,0,Tensile testing on UTM,NULL,1
374,0,Tensometer,NULL,1
375,0,THERMAL CHAMBER,NULL,1
376,0,THERMAL CYCLING (6 Cycle ),NULL,1
377,0,Thermal Profile Test Set-up,NULL,1
378,0,THERMAL SHOCK,NULL,1
379,0,Thermal Shock Chamber,NULL,1
380,0,Thermal Shock Test Chamber,NULL,1
381,0,Thermo Gravimetric Analyser (TGA),NULL,1
382,0,Thermogravimetry thermal analysis (TGA),NULL,1
383,0,Thickness Meter,NULL,1
384,0,THREE PHASE TEST BENCH,NULL,1
385,0,TIME INTERVAL METER,NULL,1
386,0,Tool Steel Alloy Steel,NULL,1
387,0,Torsion Tester,NULL,1
388,0,"Total fatty acid , Matter insoluble in alcohol, free caustic alkali, free carbonated alkali",NULL,1
389,0,TRAVERSE THREAD COUNTER,NULL,1
390,0,trinoculor vertical metallurgical microscope,NULL,1
391,0,TWIST TESTER,NULL,1
392,0,Ultrasonic Flaw Detector,NULL,1
393,0,Ultrasonic Test Equipment,NULL,1
394,0,Ultrasonic test PER Square meter,NULL,1
395,0,Unaided eye or 10X Lens,NULL,1
396,0,Universal Fatique Testing machine,NULL,1
397,0,Universal Impact Testing Machine,NULL,1
398,0,Universal Tensile Testing Machine,NULL,1
399,0,Universal Tensile Testing Machine & Endurance tester,NULL,1
400,0,Universal Testing Machine,NULL,1
401,0,Universal Testing Machine UTM,NULL,1
402,0,"UNIVERSAL TESTING MACHINE, TENSILE TESTING MACHINE",NULL,1
403,0,U-NOTCH CHARPY AT THE RATE AMBIENT TO 50 DEGREE,NULL,1
404,0,UTM,NULL,1
405,0,UTS,NULL,1
406,0,UTS. 0.2 % PROOF STRESS. ELONGATION. LOP. REDUCTION OF AREA. YIELD STRESS,NULL,1
