CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
14010,,SOLAR HOT WATER SYSTEM,,,,,,,
3694,,COVER OF OBTURATOR FS-2456A,,,,,,,
2255,,Ferro Silicon powder,,,,,,,
15058,,WATER TREATMENT SYSTEM,,,,,,,
12104,,Mild Steel Lining Formers,,,,,,,
10623,,Rubber Stud,,,,,,,
3694,,CUP TO OFAJ DRG.NO. FS-2457 A,,,,,,,
9166,,"HYDRALUICS, FLUID CONNECTORS",,,,,,,
3694,,SEALING DIAPHRAGM  FS-526,,,,,,,
9679,,CHAIN SLINGS,,,,,,,
12119,,Vacuum Pump Oils,,,,,,,
6207,,NOSIE AND VIBRATION ANALYSIS,,,,,,,
797,,FIRE BRICKS,,,,,,,
12778,,Refractory Mass,,,,,,,
14460,,NOSIE AND VIBRATION ANALYSIS,,,,,,,
13670,,SINUMERIK CABLE DISTRIBUTOR 6FX2006,,,,,,,
11152,,VALVES,,,,,,,
2605,,SOLAR PANELS SYSTEM,,,,,,,
9,,copper cathod,,,,,,,
13670,,"SIMODRIVE 611 POWER MODULE, 1 AXIS,",,,,,,,
12908,,CIVIL SUPPLIES,,,,,,,
2118,,AL.ALLOY ROUND 4.5 MM DIA,,,,,,,
13670,,SINAMICS/SIMODRIVE 611 BASIC LINE,,,,,,,
10255,,WELDING CONSUMABLES,,,,,,,
12813,,Stainless Steel Anchors,,,,,,,
3198,,PUMPS,,,,,,,
2118,,AL.ALLOY STRIP 3.5 MM(T) X 1 MTR(W),,,,,,,
6028,,"STEEL FABRICATION, ELECTRICAL, PIPING WORKS",,,,,,,
12847,,Refractory Lining Bricks,,,,,,,
3792,,FIRE FIGHTING ITEMS,,,,,,,
6571,,HEAVY DUTY BATTERIES,,,,,,,
9344,,"LED LIGHTS, FITTINGS",,,,,,,
2943,,PIPING WORKS,,,,,,,
61,,Diesel,,,,,,,
829,,STEEL FABRICATION WORKS,,,,,,,
12916,,Ballast Tank Chemical,,,,,,,
12587,,"CARTRIDGE HEATER, RATING:3KW,230V A",,,,,,,
1379,,SODIUM SILICATE,,,,,,,
6038,,DIGITAL GROUNDING SYSTEM,,,,,,,
12852,,MANPOWER SUPPLY,,,,,,,
2662,,COOLING HOSES,,,,,,,
13610,,machining of forged axle,,,,,,,
12836,,"PIPE FITTINGS, FLANGES",,,,,,,
13593,,VIBRATION ANALYSIS,,,,,,,
14157,,NETWORK SERVICE PROVIDER,,,,,,,
797,,REFRACTORY FIRE BRICKS,,,,,,,
15216,,Inflatable boat,,,,,,,
797,,REFRACTORY LINING BRICKS FOR 20 T/F,,,,,,,
2694,,Copper Cathode Electrolytic,,,,,,,
2609,,SCAFFOLDING,,,,,,,
14157,,COOLING TOWER MCC PANEL SERVICE,,,,,,,
6448,,SET OF SPARES CONSISTNG OF WATER,,,,,,,
13417,,VALVES,,,,,,,
13649,,ANNUAL MAINTENANCE CONTRACT,,,,,,,
14817,,COMPUTER ACCESSORIES,,,,,,,
13649,,THERMOSTAT TRANSFORMER PCB WITH,,,,,,,
6388,,FERRO VANADIUM,,,,,,,
2118,,COPPER STRIP 92 1MM X 4 0.2MM,,,,,,,
1574,,NON DESTRUCTIVE PENETRANT TEST KIT,,,,,,,
3915,,HYDRAULIC POWER PACKS,,,,,,,
14913,,S. G. IRON MOULD FOR 175 MM,,,,,,,
62,,diesel /petrol/LDO,,,,,,,
15307,,COLLECTION& TRANSPORTATION ORD ITEM,,,,,,,
2706,,C. R. GM Strips Size 1.05mm+/- 0.01mm Thick,,,,,,,
15085,,MICRO FUEL CELL,,,,,,,
15149,,CONVEYER ROLLERS,,,,,,,
2513,,CABLES,,,,,,,
2851,,TRANSIT PLUG DRG.CC100/SK/2105/A,,,,,,,
